annotation_id,review_id,domain,entity_id,entity_name,review_text,rating,source,benchmark_type,human_has_issue,human_issue,annotation_reason,annotation_source,human_verified,annotator_notes
MINILM_GT_0168,CTRL_ecommerce_0168,ecommerce,controlled_ecommerce,Controlled Ecommerce Benchmark,I returned the item but my refund has still not been paid.,2,manually_constructed_controlled_benchmark,controlled_manually_constructed,1,refund,Constructed single-issue example for refund.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0231,CTRL_ecommerce_0231,ecommerce,controlled_ecommerce,Controlled Ecommerce Benchmark,The device works well and the build quality feels solid. I would happily choose it again.,4,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0026,CTRL_mobile_app_0026,mobile_app,controlled_mobile_app,Controlled Mobile App Benchmark,There is no clear option to stop the recurring membership.,2,manually_constructed_controlled_benchmark,controlled_manually_constructed,1,subscription,Constructed single-issue example for subscription.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0064,CTRL_mobile_app_0064,mobile_app,controlled_mobile_app,Controlled Mobile App Benchmark,The free version shows a small banner that does not interrupt normal use. This was a straightforward positive experience.,5,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0010,CTRL_mobile_app_0010,mobile_app,controlled_mobile_app,Controlled Mobile App Benchmark,My account works on the website but this app refuses to let me log in.,2,manually_constructed_controlled_benchmark,controlled_manually_constructed,1,login,Constructed single-issue example for login.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0111,CTRL_hotel_0111,hotel,controlled_hotel,Controlled Hotel Benchmark,We booked a double room but the hotel had reserved the wrong room type.,1,manually_constructed_controlled_benchmark,controlled_manually_constructed,1,booking,Constructed single-issue example for booking.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0187,CTRL_ecommerce_0187,ecommerce,controlled_ecommerce,Controlled Ecommerce Benchmark,The glass was cracked straight out of the package.,1,manually_constructed_controlled_benchmark,controlled_manually_constructed,1,damaged_item,Constructed single-issue example for damaged item.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0144,CTRL_hotel_0144,hotel,controlled_hotel,Controlled Hotel Benchmark,The room facilities worked properly and the temperature was comfortable. This was a straightforward positive experience.,4,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0245,CTRL_restaurant_0245,restaurant,controlled_restaurant,Controlled Restaurant Benchmark,The food was bland and much worse than I expected.,1,manually_constructed_controlled_benchmark,controlled_manually_constructed,1,food_quality,Constructed single-issue example for food quality.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0225,CTRL_ecommerce_0225,ecommerce,controlled_ecommerce,Controlled Ecommerce Benchmark,The parcel was sealed properly and protected with enough padding. Overall I was satisfied.,4,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0091,CTRL_hotel_0091,hotel,controlled_hotel,Controlled Hotel Benchmark,The room was tiny and several fittings were old and broken.,1,manually_constructed_controlled_benchmark,controlled_manually_constructed,1,room_quality,Constructed single-issue example for room quality.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0077,CTRL_mobile_app_0077,mobile_app,controlled_mobile_app,Controlled Mobile App Benchmark,I have used the app for weeks and it has been stable. Overall I was satisfied.,5,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0083,CTRL_hotel_0083,hotel,controlled_hotel,Controlled Hotel Benchmark,There was dust on the furniture and mould around the shower.,1,manually_constructed_controlled_benchmark,controlled_manually_constructed,1,cleanliness,Constructed single-issue example for cleanliness.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0241,CTRL_restaurant_0241,restaurant,controlled_restaurant,Controlled Restaurant Benchmark,The meal arrived cold and the vegetables tasted stale.,1,manually_constructed_controlled_benchmark,controlled_manually_constructed,1,food_quality,Constructed single-issue example for food quality.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0173,CTRL_ecommerce_0173,ecommerce,controlled_ecommerce,Controlled Ecommerce Benchmark,The store refused to refund an item that arrived unusable.,1,manually_constructed_controlled_benchmark,controlled_manually_constructed,1,refund,Constructed single-issue example for refund.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0120,CTRL_hotel_0120,hotel,controlled_hotel,Controlled Hotel Benchmark,Wi-Fi was available in the lobby but not in the guest room.,2,manually_constructed_controlled_benchmark,controlled_manually_constructed,1,wifi,Constructed single-issue example for wifi.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0203,CTRL_ecommerce_0203,ecommerce,controlled_ecommerce,Controlled Ecommerce Benchmark,The order arrived on time and the item matched the description. I would happily choose it again.,5,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0078,CTRL_mobile_app_0078,mobile_app,controlled_mobile_app,Controlled Mobile App Benchmark,I have used the app for weeks and it has been stable. Everything worked as expected.,4,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0056,CTRL_mobile_app_0056,mobile_app,controlled_mobile_app,Controlled Mobile App Benchmark,The privacy controls are clear and I can choose which permissions to allow. This was a straightforward positive experience.,5,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0105,CTRL_hotel_0105,hotel,controlled_hotel,Controlled Hotel Benchmark,Our room was extremely noisy because of the street outside.,1,manually_constructed_controlled_benchmark,controlled_manually_constructed,1,noise,Constructed single-issue example for noise.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0204,CTRL_ecommerce_0204,ecommerce,controlled_ecommerce,Controlled Ecommerce Benchmark,The order arrived on time and the item matched the description. This was a straightforward positive experience.,4,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0212,CTRL_ecommerce_0212,ecommerce,controlled_ecommerce,Controlled Ecommerce Benchmark,The item feels well made and works exactly as expected. This was a straightforward positive experience.,5,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0199,CTRL_ecommerce_0199,ecommerce,controlled_ecommerce,Controlled Ecommerce Benchmark,The build quality is bad and the item feels very flimsy.,1,manually_constructed_controlled_benchmark,controlled_manually_constructed,1,product_quality,Constructed single-issue example for product quality.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0140,CTRL_hotel_0140,hotel,controlled_hotel,Controlled Hotel Benchmark,The bathroom was spotless and the bed was comfortable. This was a straightforward positive experience.,5,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0043,CTRL_mobile_app_0043,mobile_app,controlled_mobile_app,Controlled Mobile App Benchmark,The app opens quickly and all of my tasks save correctly. I would happily choose it again.,5,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0214,CTRL_ecommerce_0214,ecommerce,controlled_ecommerce,Controlled Ecommerce Benchmark,Delivery was faster than estimated and tracking was accurate. Everything worked as expected.,5,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0298,CTRL_restaurant_0298,restaurant,controlled_restaurant,Controlled Restaurant Benchmark,The prices were reasonable for the portion sizes. Everything worked as expected.,5,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0034,CTRL_mobile_app_0034,mobile_app,controlled_mobile_app,Controlled Mobile App Benchmark,The number of ads is so high that normal use is constantly interrupted.,2,manually_constructed_controlled_benchmark,controlled_manually_constructed,1,advertising,Constructed single-issue example for advertising.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0074,CTRL_mobile_app_0074,mobile_app,controlled_mobile_app,Controlled Mobile App Benchmark,The calendar sync works reliably across my devices. Everything worked as expected.,5,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0184,CTRL_ecommerce_0184,ecommerce,controlled_ecommerce,Controlled Ecommerce Benchmark,The device was damaged when I opened the box.,2,manually_constructed_controlled_benchmark,controlled_manually_constructed,1,damaged_item,Constructed single-issue example for damaged item.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0076,CTRL_mobile_app_0076,mobile_app,controlled_mobile_app,Controlled Mobile App Benchmark,The calendar sync works reliably across my devices. This was a straightforward positive experience.,5,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0006,CTRL_mobile_app_0006,mobile_app,controlled_mobile_app,Controlled Mobile App Benchmark,Opening the settings causes the app to stop and return me to the home screen.,2,manually_constructed_controlled_benchmark,controlled_manually_constructed,1,crash,Constructed single-issue example for crash.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0169,CTRL_ecommerce_0169,ecommerce,controlled_ecommerce,Controlled Ecommerce Benchmark,The seller accepted the return yet the money never came back.,1,manually_constructed_controlled_benchmark,controlled_manually_constructed,1,refund,Constructed single-issue example for refund.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0158,CTRL_hotel_0158,hotel,controlled_hotel,Controlled Hotel Benchmark,The room was well maintained and everything was clean. Everything worked as expected.,5,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0301,CTRL_restaurant_0301,restaurant,controlled_restaurant,Controlled Restaurant Benchmark,The atmosphere was relaxed and the music level was comfortable. Overall I was satisfied.,5,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
