review_id,domain,entity_id,entity_name,review_text,sentiment_text,sentiment_label,rating,rating_original,review_date,source,raw_source_path,label_method,text_key
gp:AOqpTOGO28_TAA4xW_2c9pIWCOP3v2il_Lidzbn0j_baDly7PKOxQz7p9GEnhC9X4vYkzPECBCQVOc_Wj538snQ,mobile_app,com.microsoft.todos,com.microsoft.todos,"Not much better than Wunderlist but now it's attached to my Microsoft account for work so I cannot share my personal lists, like the grocery list, with my family.","Not much better than Wunderlist but now it's attached to my Microsoft account for work so I cannot share my personal lists, like the grocery list, with my family.",negative,2.0,2.0,2020-06-01 04:59:14,google_play_reviews,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\mobile_app\google_play_reviews.csv,"rating-derived: 1-2 negative, 3 neutral, 4-5 positive",1612847846243120239
amazon_18381,ecommerce,B07Z2QTWSW,B07Z2QTWSW,"Very good product I use it frequently, it removes the fuze, dust and debris very well. Highly Recomend.","Very good product I use it frequently, it removes the fuze, dust and debris very well. Highly Recomend.",positive,5.0,5.0,1604776455818,amazon_all_beauty,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\ecommerce_amazon\amazon_all_beauty_sample.csv,"rating-derived: 1-2 negative, 3 neutral, 4-5 positive; review body only, title excluded to prevent star-title leakage",11815595766257874489
hotel_458535,hotel,The Tower A Guoman Hotel,The Tower A Guoman Hotel,Leaving Two words Simply amazing,Two words Simply amazing,positive,5.0,10.0,2/28/2017,515k_european_hotel_reviews,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\hotel_europe\Hotel_Reviews.csv,substantive Positive_Review + Reviewer_Score >= 8.0,5123427933891131461
amazon_28027,ecommerce,B0847DHW1B,B0847DHW1B,"Bought these for my husband. They smell ok, but 3/4 of them gave him terrible headaches that we had to give them away.","Bought these for my husband. They smell ok, but 3/4 of them gave him terrible headaches that we had to give them away.",negative,2.0,2.0,1612132054318,amazon_all_beauty,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\ecommerce_amazon\amazon_all_beauty_sample.csv,"rating-derived: 1-2 negative, 3 neutral, 4-5 positive; review body only, title excluded to prevent star-title leakage",2947124628078616655
gp:AOqpTOE3TiHzkm4LrIxn_EyrV6pB6GMrR0-xEIyQCtSi9uaCsORF_HJ4G1jDd9RrpJAvHSSR6G3G4CS9sM8tTg,mobile_app,com.habitrpg.android.habitica,com.habitrpg.android.habitica,"Seems like it could be fun, I just had a hard time getting into it.","Seems like it could be fun, I just had a hard time getting into it.",negative,2.0,2.0,2020-04-02 03:38:33,google_play_reviews,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\mobile_app\google_play_reviews.csv,"rating-derived: 1-2 negative, 3 neutral, 4-5 positive",4546247083904500509
gp:AOqpTOGqukLTC0Mh1y9EYzayijbI6fywsfRI6xMswAyHwxuJuMHVPEj725vsChUk61nFoyomUBXlDgBdVZK1KnU,mobile_app,com.microsoft.todos,com.microsoft.todos,"Very useful, simple & easy to use","Very useful, simple & easy to use",positive,4.0,4.0,2020-09-30 03:05:18,google_play_reviews,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\mobile_app\google_play_reviews.csv,"rating-derived: 1-2 negative, 3 neutral, 4-5 positive",9978900793651787254
gp:AOqpTOHs8ecwSVGfrfggj91tCCly--yxi8e7Oqs9U3s44R4ZRQZKmFi9zkwa5UJrHMn2xqyje5_LL1mVPoulaw,mobile_app,com.anydo,com.anydo,Great app. but buggy. Keeps asking me to delete all completed tasks even though it's empty,Great app. but buggy. Keeps asking me to delete all completed tasks even though it's empty,positive,4.0,4.0,2020-10-15 14:56:43,google_play_reviews,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\mobile_app\google_play_reviews.csv,"rating-derived: 1-2 negative, 3 neutral, 4-5 positive",499717338649270941
amazon_22205,ecommerce,B086PJLWQ4,B086PJLWQ4,"With a little practice, you can have beautifully long lashes. If you use eyeliner, then you can easily use this. It will take a little practice, but once they are on, they will stay on till you take them off. Unlike magnetic lashes, these work work similar to you average glue on lashes, except that the glue gives you a clear indication of where the glue is and also gives you the look of wearing eyeliner.","With a little practice, you can have beautifully long lashes. If you use eyeliner, then you can easily use this. It will take a little practice, but once they are on, they will stay on till you take them off. Unlike magnetic lashes, these work work similar to you average glue on lashes, except that the glue gives you a clear indication of where the glue is and also gives you the look of wearing eyeliner.",neutral,3.0,3.0,1594451670859,amazon_all_beauty,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\ecommerce_amazon\amazon_all_beauty_sample.csv,"rating-derived: 1-2 negative, 3 neutral, 4-5 positive; review body only, title excluded to prevent star-title leakage",10956106649373594764
restaurant_2575,restaurant,https://www.yelp.com/biz/handels-homemade-ice-cream-and-yogurt-las-vegas-3,https://www.yelp.com/biz/handels-homemade-ice-cream-and-yogurt-las-vegas-3,"Had a milkshake. Pretty good, 4/5. The regular size is huge. They need bigger straws though, hard to drink the milkshake with the small straws.","Had a milkshake. Pretty good, 4/5. The regular size is huge. They need bigger straws though, hard to drink the milkshake with the small straws.",positive,4.0,4.0,7/2/2017,yelp_restaurant_reviews,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\yelp_restaurant\Yelp Restaurant Reviews.csv,"rating-derived: 1-2 negative, 3 neutral, 4-5 positive",5036750688879338077
hotel_368470,hotel,Best Western Blue Tower Hotel,Best Western Blue Tower Hotel,Staff were incredibly helpful and hotel was spotless shops within walking distance which were helpful and tram stop a two min walk from hotel to take you to the city The free luggage storage was very handy for after we checked out and wanted to go out into the town before our flight home,Staff were incredibly helpful and hotel was spotless shops within walking distance which were helpful and tram stop a two min walk from hotel to take you to the city The free luggage storage was very handy for after we checked out and wanted to go out into the town before our flight home,positive,5.0,10.0,6/16/2016,515k_european_hotel_reviews,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\hotel_europe\Hotel_Reviews.csv,substantive Positive_Review + Reviewer_Score >= 8.0,14713319953026837262
